Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country,Temple_Type
PAS,Pashupatinath Temple,Hindu Temple,Kathmandu,27.7106,85.3486,"Pashupatinath Temple - One of the most sacred Hindu temples dedicated to Lord Shiva. UNESCO World Heritage Site (part of Kathmandu Valley).",https://en.wikipedia.org/wiki/Pashupatinath_Temple,Nepal,Hindu
SWA,Swayambhunath Stupa,Buddhist Stupa,Kathmandu,27.7149,85.2904,"Swayambhunath Stupa - Ancient Buddhist stupa also known as Monkey Temple. UNESCO World Heritage Site (part of Kathmandu Valley).",https://en.wikipedia.org/wiki/Swayambhunath,Nepal,Buddhist
BOU,Boudhanath Stupa,Buddhist Stupa,Kathmandu,27.7215,85.3621,"Boudhanath Stupa - One of the largest spherical stupas in Nepal. UNESCO World Heritage Site (part of Kathmandu Valley).",https://en.wikipedia.org/wiki/Boudhanath,Nepal,Buddhist
CHA,Changu Narayan Temple,Hindu Temple,Bhaktapur,27.7158,85.4281,"Changu Narayan Temple - Ancient Hindu temple dedicated to Lord Vishnu. UNESCO World Heritage Site (part of Kathmandu Valley).",https://en.wikipedia.org/wiki/Changu_Narayan,Nepal,Hindu
MUK,Muktinath Temple,Hindu Temple,Mustang,28.8167,83.8667,"Muktinath Temple - Sacred temple for both Hindus and Buddhists. Located at 3,800 meters altitude.",https://en.wikipedia.org/wiki/Muktinath,Nepal,Hindu
JAN,Janaki Mandir,Hindu Temple,Janakpur,26.7281,85.9250,Janaki Mandir - Temple dedicated to Goddess Sita. Birthplace of Sita according to Ramayana.,https://en.wikipedia.org/wiki/Janaki_Mandir,Nepal,Hindu
MAN,Manakamana Temple,Hindu Temple,Gorkha,28.0167,84.5833,Manakamana Temple - Temple dedicated to Goddess Bhagwati. Accessible by cable car.,https://en.wikipedia.org/wiki/Manakamana_Temple,Nepal,Hindu
BUD,Budhanilkantha Temple,Hindu Temple,Kathmandu,27.7833,85.3667,Budhanilkantha Temple - Temple featuring a large reclining statue of Lord Vishnu.,https://en.wikipedia.org/wiki/Budhanilkantha_Temple,Nepal,Hindu
DAK,Dakshinkali Temple,Hindu Temple,Kathmandu,27.6167,85.2833,Dakshinkali Temple - Temple dedicated to Goddess Kali. Popular pilgrimage site.,https://en.wikipedia.org/wiki/Dakshinkali_Temple,Nepal,Hindu
GUH,Guhyeshwari Temple,Hindu Temple,Kathmandu,27.7106,85.3486,Guhyeshwari Temple - Sacred Shakti Peetha temple near Pashupatinath.,https://en.wikipedia.org/wiki/Guhyeshwari_Temple,Nepal,Hindu
KUM,Kumbheshwar Temple,Hindu Temple,Lalitpur,27.6750,85.3250,Kumbheshwar Temple - Ancient Shiva temple in Patan with natural spring.,https://en.wikipedia.org/wiki/Kumbheshwar_Temple,Nepal,Hindu
TAL,Taleju Bhawani Temple,Hindu Temple,Kathmandu,27.7044,85.3081,Taleju Bhawani Temple - Royal temple dedicated to Goddess Taleju in Kathmandu Durbar Square.,https://en.wikipedia.org/wiki/Taleju_Bhawani_Temple,Nepal,Hindu
MSR,Manasarovar (Lake Manasarovar),Sacred Lake,Tibet,30.6667,81.5000,"Manasarovar (Lake Manasarovar) - One of the most sacred lakes in Hinduism, Buddhism, and Bon. Believed to be created by Lord Brahma. Bathing in its waters is considered to cleanse sins and lead to spiritual liberation. Located near Mount Kailash in Tibet.",https://en.wikipedia.org/wiki/Lake_Manasarovar,Nepal,Hindu
KAI,Mount Kailash,Sacred Mountain,Tibet,31.0667,81.3125,"Mount Kailash - The most sacred mountain in Hinduism, Buddhism, Jainism, and Bon. Regarded as the abode of Lord Shiva. The Kailash Parikrama (circumambulation) is a major pilgrimage that takes 2-3 days and is believed to bring spiritual merit and enlightenment. Located in Tibet.",https://en.wikipedia.org/wiki/Mount_Kailash,Nepal,Hindu
